Pos,[0-10),[10-20),[20-30),[30-40]
1,0.1,0.4,1.7,97.8
2,0.1,0.6,2.1,97.2
3,0.1,0.5,1.8,97.6
4,0.1,0.5,1.8,97.7
5,0.1,0.5,1.8,97.6
6,0.1,0.5,1.8,97.6
7,0.1,0.5,1.8,97.6
8,0.1,0.5,1.8,97.7
9,0.1,0.5,1.8,97.7
10,0.1,0.5,1.8,97.6
11,0.1,0.5,1.8,97.6
12,0.1,0.5,1.8,97.6
13,0.1,0.5,1.8,97.6
14,0.1,0.5,1.8,97.6
15,0.1,0.5,1.8,97.6
16,0.1,0.5,1.8,97.6
17,0.1,0.5,1.8,97.6
18,0.1,0.5,1.8,97.6
19,0.1,0.5,1.8,97.6
20,0.1,0.5,1.8,97.6
21,0.1,0.5,1.8,97.6
22,0.1,0.5,1.8,97.6
23,0.1,0.5,1.8,97.6
24,0.1,0.5,1.8,97.6
25,0.1,0.5,1.8,97.6
26,0.1,0.5,1.8,97.6
27,0.1,0.5,1.8,97.6
28,0.1,0.5,1.9,97.5
29,0.1,0.5,1.9,97.5
30,0.1,0.5,1.8,97.6
31,0.1,0.5,1.8,97.6
32,0.1,0.5,1.8,97.6
33,0.1,0.5,1.8,97.6
34,0.1,0.5,1.8,97.6
35,0.1,0.5,1.8,97.6
36,0.1,0.5,1.9,97.5
37,0.1,0.5,1.8,97.5
38,0.1,0.5,1.8,97.5
39,0.1,0.5,1.9,97.5
40,0.1,0.5,1.9,97.5
41,0.1,0.5,1.9,97.5
42,0.1,0.5,1.9,97.5
43,0.1,0.5,1.9,97.5
44,0.1,0.6,1.9,97.4
45,0.1,0.5,1.9,97.4
46,0.1,0.5,1.9,97.4
47,0.1,0.6,1.9,97.4
48,0.1,0.6,1.9,97.4
49,0.1,0.6,1.9,97.4
50,0.1,0.6,1.9,97.4
51,0.1,0.6,1.9,97.4
52,0.1,0.6,2,97.4
53,0.1,0.6,2,97.3
54,0.1,0.6,2,97.3
55,0.1,0.6,2,97.3
56,0.1,0.6,2,97.3
57,0.1,0.6,2,97.2
58,0.1,0.6,2,97.2
59,0.1,0.6,2,97.2
60,0.1,0.6,2.1,97.2
61,0.1,0.6,2.1,97.2
62,0.1,0.6,2.1,97.2
63,0.1,0.6,2.1,97.1
64,0.1,0.6,2.1,97.1
65,0.1,0.7,2.1,97.1
66,0.1,0.7,2.1,97.1
67,0.1,0.7,2.1,97.1
68,0.1,0.7,2.2,97
69,0.1,0.7,2.2,97
70,0.1,0.7,2.2,97
71,0.2,0.7,2.2,96.9
72,0.2,0.7,2.2,96.9
73,0.2,0.7,2.2,97
74,0.2,0.7,2.2,96.9
75,0.2,0.7,2.2,96.9
76,0.2,0.7,2.3,96.9
77,0.2,0.7,2.3,96.8
78,0.2,0.7,2.3,96.8
79,0.2,0.8,2.3,96.8
80,0.2,0.8,2.3,96.7
81,0.2,0.8,2.4,96.7
82,0.2,0.8,2.4,96.7
83,0.2,0.8,2.4,96.6
84,0.2,0.8,2.4,96.6
85,0.2,0.8,2.4,96.5
86,0.2,0.8,2.5,96.5
87,0.2,0.8,2.5,96.5
88,0.2,0.9,2.5,96.4
89,0.2,0.9,2.5,96.4
90,0.2,0.9,2.6,96.3
91,0.2,0.9,2.6,96.3
92,0.2,0.9,2.6,96.2
93,0.2,0.9,2.6,96.2
94,0.2,0.9,2.6,96.2
95,0.2,0.9,2.7,96.2
96,0.3,1,2.7,96.1
97,0.3,1,2.7,96.1
98,0.3,1,2.7,96
99,0.3,1,2.8,96
100,0.3,1,2.8,95.9
101,0.3,1.1,2.8,95.8
102,0.3,1.1,2.8,95.8
103,0.3,1.1,2.9,95.7
104,0.3,1.1,2.9,95.7
105,0.3,1.1,2.9,95.7
106,0.3,1.2,3,95.6
107,0.3,1.2,3,95.5
108,0.3,1.2,3,95.4
109,0.1,0.8,2.8,96.2
110,0.1,0.7,3,96.2
111,0.1,0.6,2.8,96.6
112,0.1,0.5,2.6,96.8
113,0.1,0.5,2.7,96.7
114,0.1,0.6,2.8,96.6
115,0.1,0.6,2.8,96.6
116,0.1,0.6,2.7,96.6
117,0.1,0.6,2.7,96.6
118,0.1,0.7,2.8,96.4
119,0.1,0.6,2.8,96.5
120,0.1,0.6,2.8,96.5
121,0.1,0.6,2.8,96.5
122,0.1,0.6,2.8,96.5
123,0.1,0.6,2.8,96.5
124,0.1,0.6,2.8,96.5
125,0.1,0.6,2.9,96.4
126,0.1,0.6,2.8,96.5
127,0.1,0.6,2.9,96.4
128,0.1,0.6,2.9,96.4
129,0.1,0.6,2.9,96.4
130,0.1,0.6,2.9,96.4
131,0.1,0.7,2.9,96.4
132,0.1,0.7,2.9,96.3
133,0.1,0.7,2.9,96.3
134,0.1,0.7,2.9,96.3
135,0.1,0.7,3,96.3
136,0.1,0.7,2.9,96.3
137,0.1,0.7,3,96.3
138,0.1,0.7,3,96.2
139,0.1,0.7,3,96.2
140,0.1,0.7,3,96.2
141,0.1,0.7,3,96.1
142,0.1,0.7,3,96.2
143,0.1,0.7,3,96.2
144,0.1,0.7,3,96.1
145,0.1,0.7,3,96.1
146,0.1,0.7,3,96.1
147,0.1,0.8,3.1,96
148,0.1,0.8,3.1,96
149,0.1,0.8,3.1,96
150,0.1,0.8,3.1,96
151,0.1,0.8,3.1,96
152,0.1,0.8,3.2,95.9
153,0.1,0.8,3.2,95.9
154,0.1,0.8,3.2,95.9
155,0.1,0.8,3.2,95.9
156,0.1,0.8,3.2,95.9
157,0.1,0.8,3.2,95.8
158,0.1,0.8,3.2,95.8
159,0.1,0.9,3.3,95.8
160,0.1,0.9,3.3,95.7
161,0.1,0.8,3.2,95.8
162,0.1,0.9,3.3,95.7
163,0.1,0.9,3.3,95.7
164,0.2,0.9,3.3,95.6
165,0.2,0.9,3.3,95.6
166,0.2,0.9,3.3,95.6
167,0.2,0.9,3.4,95.5
168,0.2,0.9,3.4,95.5
169,0.2,0.9,3.4,95.5
170,0.2,1,3.4,95.4
171,0.2,1,3.4,95.4
172,0.2,1,3.5,95.4
173,0.2,1,3.5,95.4
174,0.2,1,3.5,95.3
175,0.2,1,3.5,95.3
176,0.2,1,3.5,95.3
177,0.2,1,3.5,95.2
178,0.2,1.1,3.6,95.2
179,0.2,1.1,3.6,95.2
180,0.2,1.1,3.6,95.1
181,0.2,1.1,3.6,95.1
182,0.2,1.1,3.6,95
183,0.2,1.1,3.7,95
184,0.2,1.1,3.7,95
185,0.2,1.1,3.7,94.9
186,0.2,1.2,3.7,94.9
187,0.2,1.2,3.7,94.8
188,0.2,1.2,3.8,94.8
189,0.2,1.2,3.8,94.8
190,0.2,1.2,3.8,94.7
191,0.3,1.3,3.9,94.6
192,0.3,1.2,3.8,94.6
193,0.3,1.3,3.9,94.5
194,0.3,1.3,3.9,94.5
195,0.3,1.3,3.9,94.5
196,0.3,1.3,4,94.4
197,0.3,1.3,4,94.4
198,0.3,1.4,4,94.4
199,0.3,1.4,4.1,94.2
200,0.3,1.4,4.1,94.2
201,0.3,1.4,4.1,94.2
202,0.3,1.4,4.1,94.1
203,0.3,1.5,4.2,94
204,0.3,1.5,4.2,94
205,0.4,1.5,4.2,93.9
206,0.4,1.5,4.2,93.9
207,0.4,1.6,4.3,93.8
208,0.4,1.6,4.3,93.8
209,0.4,1.6,4.3,93.7
210,0.4,1.6,4.3,93.6
211,0.4,1.7,4.4,93.5
212,0.4,1.7,4.4,93.4
213,0.4,1.7,4.4,93.4
214,0.5,1.8,4.5,93.3
215,0.5,1.8,4.5,93.3
216,0.5,1.8,4.5,93.1